kode_prov,nama_prov,jenis_pdrb,kode_komp,nama_komp,nilai_jt
13,Sumatera Barat,PRODUKSI,I-44,Asuransi dan Dana Pensiun,497189.48690740834
13,Sumatera Barat,PRODUKSI,I-45,Jasa Keuangan Lainnya,1134771.3670953372
13,Sumatera Barat,PRODUKSI,I-46,Jasa Penunjang Keuangan,131902.96031270467
13,Sumatera Barat,PRODUKSI,I-47,Real Estate,5635848.29687209
13,Sumatera Barat,PRODUKSI,I-48,Jasa Perusahaan,1798887.7359256002
13,Sumatera Barat,PRODUKSI,I-49,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",8155580.179651599
13,Sumatera Barat,PRODUKSI,I-50,Jasa Pendidikan,9528925.749201594
13,Sumatera Barat,PRODUKSI,I-51,Jasa Kesehatan dan Kegiatan Sosial,2661709.096599579
13,Sumatera Barat,PRODUKSI,I-52,Jasa Lainnya,3946129.8673396707
14,Riau,PRODUKSI,I-01,Pertanian Tanaman Pangan ,1450291.1239398953
14,Riau,PRODUKSI,I-02,"Pertanian Tanaman Hortikultura Semusim, Hortikultura Tahunan, dan Lainnya",3058876.1100034965
14,Riau,PRODUKSI,I-03,Perkebunan Semusim dan Tahunan,76591783.40025935
14,Riau,PRODUKSI,I-04,Peternakan ,3001222.2172495266
14,Riau,PRODUKSI,I-05,Jasa Pertanian dan Perburuan  ,1200283.1625107308
14,Riau,PRODUKSI,I-06,Kehutanan dan Penebangan Kayu,28011350.582617085
14,Riau,PRODUKSI,I-07,Perikanan ,5985293.913626403
14,Riau,PRODUKSI,I-08,"Pertambangan Minyak, Gas dan Panas Bumi",56475348.44409161
14,Riau,PRODUKSI,I-09,Pertambangan Batubara dan Lignit,294276.5890477321
14,Riau,PRODUKSI,I-10,Pertambangan Bijih Logam,33209.676966588544
14,Riau,PRODUKSI,I-11,Pertambangan dan Penggalian Lainnya,17327515.383657105
14,Riau,PRODUKSI,I-12,Industri Batubara dan Pengilangan Migas,46124911.57330059
14,Riau,PRODUKSI,I-13,Industri Makanan dan Minuman ,89660231.31456318
14,Riau,PRODUKSI,I-14,Industri Pengolahan Tembakau,130.99176869765265
14,Riau,PRODUKSI,I-15,Industri Tekstil dan Pakaian Jadi,371033.639469195
14,Riau,PRODUKSI,I-16,"Industri Kulit, Barang dari Kulit dan Alas Kaki ",131201.12818821185
